term,rate
cords,2.0000
gui,2.0000
pad,2.0000
costing,2.0000
priced,2.0000
web cam,2.0000
hardrive,2.0000
linux,2.0000
cpu,2.0000
toshiba customer services,2.0000
touch-pad,2.0000
track pad,2.0000
sized,2.0000
dc jack,2.0000
memory stick,2.0000
vista,1.5556
power supply,1.5000
touch pad,1.5000
cooling system,1.5000
boots up,1.5000
hard disk,1.5000
loads,1.5000
os x,1.5000
hard drives,1.5000
gaming,1.4444
processor,1.3750
windows,1.3636
webcam,1.3333
hardware,1.3333
service center,1.3333
safari,1.3333
resolution,1.3333
repair depot,1.3333
ms office,1.3333
keys,1.3000
fan,1.2857
ram,1.2857
software,1.2593
mouse,1.2500
touchpad,1.2500
motherboard,1.2308
service,1.2222
runs,1.2000
bios,1.2000
programs,1.1935
program,1.1818
itunes,1.1667
trackpad,1.1667
windows 7 starter,1.1667
battery,1.1429
warranty,1.1429
extended warranty,1.1250
shipping,1.1250
iphoto,1.1250
battery life,1.0980
features,1.0937
size,1.0909
keyboard,1.0833
speakers,1.0833
windows 7,1.0769
price,1.0741
memory,1.0588
performance,1.0455
hard drive,1.0000
quality,1.0000
speed,1.0000
applications,1.0000
graphics,1.0000
design,1.0000
operating system,1.0000
warrenty,1.0000
os,1.0000
iwork,1.0000
garageband,1.0000
screen size,1.0000
feature,1.0000
boot up,1.0000
drivers,1.0000
bluetooth,1.0000
cd drive,1.0000
usb ports,1.0000
portability,1.0000
hinge,1.0000
mousepad,1.0000
imovie,1.0000
ilife,1.0000
edges,1.0000
charger,1.0000
mother board,1.0000
web browsing,1.0000
delivery,1.0000
dvd burner,1.0000
operation,1.0000
customer support,1.0000
built,1.0000
customer service,1.0000
drive,1.0000
external mouse,1.0000
browser,1.0000
microsoft office,1.0000
appearance,1.0000
graphics card,1.0000
windows vista,1.0000
colors,1.0000
mac os,1.0000
storage,1.0000
video card,1.0000
word processing,1.0000
batteries,1.0000
staff,1.0000
windows 7 home premium,1.0000
keynote,1.0000
windows xp,1.0000
photoshop,1.0000
firefox,1.0000
mouse pad,1.0000
budget,1.0000
cord,1.0000
photobooth,1.0000
graphics cards,1.0000
edge,1.0000
preloaded software,1.0000
hard disc,1.0000
operating systems,1.0000
mac software,1.0000
recovery discs,1.0000
usb,1.0000
xp,1.0000
color,1.0000
construction quality,1.0000
longevity,1.0000
security,1.0000
built-in webcam,1.0000
price tag,1.0000
ports,1.0000
appleworks,1.0000
paint,1.0000
antivirus software,1.0000
cooling pad,1.0000
windows 7 ultimate,1.0000
fingerprint reader,1.0000
bootcamp,1.0000
twin packing,1.0000
virus protection,1.0000
hdmi port,1.0000
internet explorer,1.0000
apple care,1.0000
build quality,1.0000
driver,1.0000
internet speed,1.0000
photo booth,1.0000
drivers/applications dvd,1.0000
skype,1.0000
wireless,1.0000
subwoofer,1.0000
built in camera,1.0000
hard drive space,1.0000
extended warranties,1.0000
right speaker,1.0000
recovery disk,1.0000
wifi,1.0000
windows update,1.0000
ilife software,1.0000
lcd,1.0000
apple applications,1.0000
quality display,1.0000
iphotos,1.0000
sata controller,1.0000
bluetooth mouse,1.0000
videocard,1.0000
charging,1.0000
processing power,1.0000
speaker grill,1.0000
headphones,1.0000
booting up,1.0000
osx,1.0000
internet connection,1.0000
port,1.0000
cursor,1.0000
disc drive,1.0000
recovery dvds,1.0000
user interface,1.0000
surfing,1.0000
extended life battery,1.0000
sound card,1.0000
power adapter,1.0000
surfing the web,1.0000
dvd drive,1.0000
browsing,1.0000
call center,1.0000
word processor,1.0000
surf the web,1.0000
casing,1.0000
tech guy,1.0000
ichat,1.0000
garage band,1.0000
power light,1.0000
rubber enclosure,1.0000
multi-touch gestures,1.0000
tracking area,1.0000
suite of software,1.0000
usb devices,1.0000
microsoft office for the mac,1.0000
syncing,1.0000
clock in bios setup,1.0000
warranty service,1.0000
