word,cnt,p
.,2666,0.05194
the,2208,0.04301
i,1743,0.03396
",",1617,0.03150
it,1418,0.02762
and,1364,0.02657
to,1301,0.02534
a,1174,0.02287
is,862,0.01679
for,627,0.01221
of,610,0.01188
this,557,0.01085
my,550,0.01071
that,482,0.00939
was,426,0.00830
with,415,0.00808
you,390,0.00760
have,377,0.00734
in,375,0.00731
computer,353,0.00688
not,348,0.00678
laptop,343,0.00668
on,340,0.00662
but,274,0.00534
had,270,0.00526
n't,269,0.00524
they,264,0.00514
!,258,0.00503
so,240,0.00468
me,217,0.00423
would,206,0.00401
very,202,0.00394
do,192,0.00374
are,189,0.00368
use,186,0.00362
one,180,0.00351
be,180,0.00351
as,179,0.00349
has,171,0.00333
great,170,0.00331
all,170,0.00331
's,169,0.00329
-rrb-,166,0.00323
-lrb-,162,0.00316
just,160,0.00312
if,157,0.00306
or,153,0.00298
at,150,0.00292
when,150,0.00292
mac,148,0.00288
after,140,0.00273
up,138,0.00269
about,138,0.00269
can,137,0.00267
out,137,0.00267
time,131,0.00255
like,130,0.00253
will,130,0.00253
get,130,0.00253
from,126,0.00245
macbook,123,0.00240
only,123,0.00240
no,120,0.00234
buy,118,0.00230
an,117,0.00228
more,115,0.00224
screen,115,0.00224
back,115,0.00224
than,112,0.00218
battery,110,0.00214
am,103,0.00201
pc,100,0.00195
love,100,0.00195
even,99,0.00193
new,99,0.00193
-,98,0.00191
what,98,0.00191
good,97,0.00189
which,97,0.00189
also,96,0.00187
apple,95,0.00185
bought,93,0.00181
windows,92,0.00179
toshiba,91,0.00177
did,91,0.00177
because,89,0.00173
pro,88,0.00171
easy,87,0.00169
there,86,0.00168
we,86,0.00168
first,85,0.00166
'',84,0.00164
work,84,0.00164
got,82,0.00160
now,81,0.00158
well,81,0.00158
any,80,0.00156
life,78,0.00152
problems,78,0.00152
does,76,0.00148
problem,76,0.00148
much,75,0.00146
months,75,0.00146
best,75,0.00146
could,75,0.00146
hp,74,0.00144
other,74,0.00144
them,74,0.00144
its,74,0.00144
then,73,0.00142
thing,72,0.00140
never,71,0.00138
again,69,0.00134
machine,69,0.00134
been,68,0.00132
your,68,0.00132
product,68,0.00132
keyboard,67,0.00131
hard,66,0.00129
another,66,0.00129
``,65,0.00127
still,64,0.00125
really,64,0.00125
money,63,0.00123
by,63,0.00123
price,61,0.00119
've,60,0.00117
dell,59,0.00115
used,58,0.00113
since,58,0.00113
take,57,0.00111
were,57,0.00111
way,57,0.00111
years,57,0.00111
some,57,0.00111
drive,56,0.00109
software,56,0.00109
'm,56,0.00109
:,56,0.00109
$,55,0.00107
need,55,0.00107
little,54,0.00105
2,54,0.00105
ever,54,0.00105
their,54,0.00105
laptops,53,0.00103
purchased,53,0.00103
better,53,0.00103
how,52,0.00101
same,51,0.00099
warranty,51,0.00099
too,51,0.00099
want,50,0.00097
3,50,0.00097
fast,49,0.00095
purchase,49,0.00095
netbook,48,0.00094
quality,48,0.00094
system,48,0.00094
many,47,0.00092
power,47,0.00092
took,47,0.00092
recommend,47,0.00092
two,47,0.00092
ca,46,0.00090
everything,46,0.00090
worth,46,0.00090
looking,46,0.00090
programs,45,0.00088
before,44,0.00086
go,44,0.00086
while,43,0.00084
working,43,0.00084
service,42,0.00082
send,42,0.00082
long,42,0.00082
7,42,0.00082
over,42,0.00082
day,41,0.00080
off,41,0.00080
old,41,0.00080
without,40,0.00078
went,40,0.00078
hours,39,0.00076
every,39,0.00076
said,38,0.00074
down,38,0.00074
something,38,0.00074
year,38,0.00074
notebook,38,0.00074
made,38,0.00074
say,37,0.00072
using,37,0.00072
going,37,0.00072
should,37,0.00072
internet,37,0.00072
weeks,37,0.00072
most,37,0.00072
right,37,0.00072
features,36,0.00070
support,36,0.00070
know,36,0.00070
having,36,0.00070
around,36,0.00070
few,36,0.00070
able,36,0.00070
find,36,0.00070
always,36,0.00070
repair,34,0.00066
works,34,0.00066
bad,34,0.00066
sent,34,0.00066
run,34,0.00066
who,34,0.00066
enough,34,0.00066
make,33,0.00064
slow,33,0.00064
times,33,0.00064
happy,33,0.00064
being,33,0.00064
last,33,0.00064
month,32,0.00062
acer,32,0.00062
see,32,0.00062
size,32,0.00062
graphics,31,0.00060
mouse,31,0.00060
issue,31,0.00060
less,30,0.00058
next,30,0.00058
model,30,0.00058
days,30,0.00058
think,30,0.00058
through,30,0.00058
lot,30,0.00058
anyone,30,0.00058
ago,29,0.00056
needs,29,0.00056
comes,29,0.00056
...,29,0.00056
computers,29,0.00056
fixed,29,0.00056
user,29,0.00056
these,28,0.00055
may,28,0.00055
getting,28,0.00055
help,28,0.00055
perfect,28,0.00055
called,28,0.00055
came,28,0.00055
into,28,0.00055
anything,28,0.00055
desktop,28,0.00055
though,28,0.00055
fix,27,0.00053
things,27,0.00053
?,27,0.00053
far,27,0.00053
finally,26,0.00051
home,26,0.00051
told,26,0.00051
4,26,0.00051
call,26,0.00051
he,26,0.00051
bit,26,0.00051
performance,26,0.00051
nice,26,0.00051
set,25,0.00049
applications,25,0.00049
done,25,0.00049
small,25,0.00049
speed,25,0.00049
keep,25,0.00049
later,25,0.00049
amazing,25,0.00049
started,25,0.00049
memory,25,0.00049
replaced,25,0.00049
such,25,0.00049
full,25,0.00049
different,25,0.00049
charge,24,0.00047
big,24,0.00047
almost,24,0.00047
5,24,0.00047
doing,24,0.00047
;,24,0.00047
come,24,0.00047
people,23,0.00045
light,23,0.00045
're,23,0.00045
office,23,0.00045
buying,23,0.00045
once,23,0.00045
within,23,0.00045
returned,23,0.00045
customer,23,0.00045
runs,23,0.00045
program,23,0.00045
store,23,0.00045
overall,23,0.00045
week,23,0.00045
found,23,0.00045
three,23,0.00045
nothing,22,0.00043
completely,22,0.00043
experience,22,0.00043
brand,22,0.00043
replacement,22,0.00043
card,22,0.00043
look,22,0.00043
*,22,0.00043
top,22,0.00043
wonderful,22,0.00043
design,22,0.00043
1,22,0.00043
school,22,0.00043
easily,22,0.00043
book,22,0.00043
pretty,21,0.00041
however,21,0.00041
tried,21,0.00041
replace,21,0.00041
products,21,0.00041
open,21,0.00041
seems,21,0.00041
issues,21,0.00041
vista,21,0.00041
online,21,0.00041
owned,21,0.00041
pad,21,0.00041
os,21,0.00041
makes,21,0.00041
definitely,21,0.00041
until,20,0.00039
past,20,0.00039
trying,20,0.00039
carry,20,0.00039
probably,20,0.00039
thought,20,0.00039
web,20,0.00039
pay,20,0.00039
college,20,0.00039
she,20,0.00039
viruses,20,0.00039
video,20,0.00039
needed,20,0.00039
highly,19,0.00037
extra,19,0.00037
running,19,0.00037
fact,19,0.00037
where,19,0.00037
both,19,0.00037
worked,19,0.00037
wanted,19,0.00037
10,19,0.00037
games,19,0.00037
ram,19,0.00037
tell,19,0.00037
tech,18,0.00035
side,18,0.00035
virus,18,0.00035
yet,18,0.00035
making,18,0.00035
cheap,18,0.00035
gets,18,0.00035
might,18,0.00035
display,18,0.00035
wireless,18,0.00035
awesome,18,0.00035
own,18,0.00035
dvd,18,0.00035
change,18,0.00035
etc.,17,0.00033
paid,17,0.00033
play,17,0.00033
several,17,0.00033
operating,17,0.00033
save,17,0.00033
part,17,0.00033
cost,17,0.00033
second,17,0.00033
motherboard,17,0.00033
simple,17,0.00033
sound,17,0.00033
key,17,0.00033
minutes,17,0.00033
keys,17,0.00033
excellent,17,0.00033
feel,17,0.00033
person,17,0.00033
give,17,0.00033
box,17,0.00033
large,16,0.00031
absolutely,16,0.00031
start,16,0.00031
processor,16,0.00031
gaming,16,0.00031
company,16,0.00031
microsoft,16,0.00031
email,16,0.00031
faster,16,0.00031
pcs,16,0.00031
our,16,0.00031
sony,16,0.00031
word,16,0.00031
free,16,0.00031
those,16,0.00031
hot,16,0.00031
deal,16,0.00031
'd,16,0.00031
taking,15,0.00029
high,15,0.00029
asus,15,0.00029
blue,15,0.00029
usb,15,0.00029
business,15,0.00029
couple,15,0.00029
portable,15,0.00029
why,15,0.00029
stopped,15,0.00029
maybe,15,0.00029
music,15,0.00029
extended,15,0.00029
quickly,15,0.00029
wo,15,0.00029
reason,15,0.00029
macs,15,0.00029
course,15,0.00029
short,15,0.00029
away,15,0.00029
left,15,0.00029
turn,14,0.00027
line,14,0.00027
plus,14,0.00027
here,14,0.00027
let,14,0.00027
fan,14,0.00027
files,14,0.00027
update,14,0.00027
spent,14,0.00027
itself,14,0.00027
value,14,0.00027
learn,14,0.00027
'll,14,0.00027
although,14,0.00027
hour,14,0.00027
unit,14,0.00027
pictures,14,0.00027
simply,14,0.00027
worst,14,0.00027
cd,14,0.00027
rather,14,0.00027
whole,14,0.00027
case,14,0.00027
wait,14,0.00027
phone,13,0.00025
longer,13,0.00025
least,13,0.00025
installed,13,0.00025
spend,13,0.00025
wrong,13,0.00025
worry,13,0.00025
ease,13,0.00025
average,13,0.00025
believe,13,0.00025
fine,13,0.00025
compared,13,0.00025
instead,13,0.00025
wish,13,0.00025
else,13,0.00025
due,13,0.00025
supply,13,0.00025
decided,13,0.00025
early,13,0.00025
sure,13,0.00025
takes,13,0.00025
disappointed,13,0.00025
someone,13,0.00025
friend,13,0.00025
already,13,0.00025
myself,13,0.00025
looks,13,0.00025
speakers,13,0.00025
center,12,0.00023
extremely,12,0.00023
unless,12,0.00023
repaired,12,0.00023
entire,12,0.00023
upgrade,12,0.00023
